q0 q1 q2 q3 weights
0.97687119 0.16446365 -0.05526636 0.12497982 0.00004499
0.94055498 -0.14918275 -0.02723647 0.30390623 0.00004433
0.95733929 0.08847685 0.07247168 0.26536980 0.00004479
0.93452585 0.12878743 0.09434082 -0.31808019 0.00004280
0.91960096 0.20196497 -0.30329192 -0.14682728 0.00004362
0.94863641 0.29904512 -0.04698318 -0.09194309 0.00004653
0.93375158 -0.05370647 -0.17098516 0.30981880 0.00004494
0.90114236 -0.02860656 -0.27922219 -0.33039236 0.00004364
0.95961410 -0.14829010 0.20997156 -0.11429239 0.00004591
0.92250794 0.12723577 0.36372611 -0.02221423 0.00004630
0.92316031 -0.14254305 0.21128814 0.28777394 0.00004358
0.87488675 0.19816522 0.34987175 -0.26998797 0.00004485
0.93167502 0.07666440 0.26961991 -0.23110461 0.00004297
0.97943896 0.16498245 0.06896715 0.09340019 0.00004417
0.92380160 -0.25823826 -0.22251770 0.17432579 0.00004647
0.96774745 -0.01250492 -0.21721335 -0.12699136 0.00004610
0.95371825 0.22574079 -0.17742656 0.08934422 0.00004688
0.94813013 0.00306851 -0.15823211 -0.27568546 0.00004146
0.89382470 0.32447383 0.13489772 -0.27856189 0.00004694
0.91588598 0.23239551 -0.19258851 0.26467884 0.00004403
0.96689898 0.04760427 0.07070047 0.24050282 0.00004508
0.90975708 0.13509390 -0.29376391 -0.26037362 0.00004664
0.89988536 0.01934576 0.30529562 -0.31084836 0.00004450
0.92352915 0.22581184 -0.30594817 0.04998688 0.00004472
0.95819038 0.02609742 0.14053045 0.24787353 0.00004633
0.88155854 0.35383138 0.12966818 0.28433084 0.00004367
0.97295946 -0.13810460 0.02269030 -0.18374492 0.00004318
0.98260522 -0.06063738 0.11205996 -0.13510227 0.00004648
0.96671557 -0.11679784 0.22747906 0.00851746 0.00004261
0.99529999 -0.08772790 -0.02604440 -0.03167737 0.00004354
0.95175833 -0.13866812 0.12916145 -0.24133915 0.00004804
0.93219918 -0.02781872 0.16261505 0.32216018 0.00004381
0.94392335 -0.04376373 0.29846770 -0.13420290 0.00004235
0.92904681 0.25555417 -0.26298141 -0.04903894 0.00004758
0.95250541 0.14500602 0.14038804 -0.22803040 0.00004519
0.96923065 -0.22327764 0.01432694 0.10263423 0.00004558
0.95386004 0.23786920 -0.18110278 0.02776795 0.00004381
0.93449515 0.11732692 -0.27132866 -0.19832787 0.00004650
0.98760939 -0.05678079 0.06292808 0.13207448 0.00004688
0.93854642 -0.12957124 -0.26448184 -0.17997582 0.00004810
0.95250553 -0.17989753 0.24141946 0.04568123 0.00004581
0.93330234 0.35015041 0.06914357 0.03950431 0.00004705
0.87640458 0.34092847 0.32519314 -0.09966067 0.00004036
0.86990267 0.33589363 -0.31591022 -0.17505877 0.00004434
0.91016674 0.36374268 -0.14443266 0.13574588 0.00004510
0.91156060 -0.30234855 -0.02368799 -0.27763551 0.00004274
0.93489897 -0.26095623 -0.03502397 -0.23798956 0.00004616
0.91543591 -0.09750263 0.13690343 0.36568806 0.00004322
0.92039382 0.34087071 0.09288339 -0.16749631 0.00004404
0.97182083 -0.07654221 0.00961466 -0.22274008 0.00004580
0.92636973 0.21375388 0.30881611 -0.02794660 0.00004218
0.94201750 0.13334550 -0.26064321 -0.16397299 0.00004372
0.90782690 0.24756865 0.33778659 0.02145492 0.00004141
0.92468172 -0.26626632 0.19466436 -0.19018880 0.00004388
0.94647938 -0.29426646 -0.13023703 0.02494712 0.00004673
0.91708732 -0.09651414 0.19633375 -0.33329999 0.00004368
0.92852890 -0.13686574 0.06000558 0.33985463 0.00004217
0.87409049 0.20668823 -0.27106133 -0.34608027 0.00004441
0.87417775 0.23469707 -0.33370245 -0.26338792 0.00004454
0.96489620 0.10828628 -0.05085514 0.23380144 0.00004693
0.97955561 -0.12149853 0.13057037 -0.09306069 0.00004449
0.98487741 0.10541811 0.07052923 0.11802169 0.00004236
0.92695826 0.34447426 -0.14647190 -0.02513714 0.00004554
0.90069997 -0.29679990 0.07628522 -0.30794474 0.00004265
0.94515705 0.31534743 -0.06514212 0.05468705 0.00004468
0.97282547 -0.20858863 -0.09525428 0.03206338 0.00004753
0.97221029 0.20788145 0.08899942 0.06059358 0.00004481
0.97739494 0.13024622 -0.00860341 0.16631615 0.00004399
0.92147708 -0.32442734 -0.00880752 -0.21342288 0.00004595
